2019-06-07 23:13:43,478 - INFO - Criando servidor com parametros host: 10.254.224.52, port:55000, interval: 0.001
2019-06-07 23:13:43,478 - INFO - Criando socket UDP
2019-06-07 23:13:43,478 - INFO - Binding server no endereço (10.254.224.52,55000)
2019-06-07 23:13:43,479 - INFO - iniciando gerador de lerolero
2019-06-07 23:13:46,195 - INFO - gerador de lerolero iniciado
2019-06-07 23:13:46,195 - INFO - Iniciando servidor
2019-06-07 23:13:46,195 - INFO - Iniciando thread de listening
2019-06-07 23:13:46,196 - INFO - Iniciando thread de streaming
2019-06-07 23:13:46,201 - INFO - Servidor iniciado
2019-06-07 23:14:02,192 - INFO - Dados recebidos do endereço ('10.254.224.48', 56916): {'request': 'receive_streaming'}
2019-06-07 23:14:02,204 - INFO - novo cliente: ('10.254.224.48', 56916)
2019-06-07 23:14:02,204 - INFO - lista de clientes ativos: [('10.254.224.48', 56916)]
2019-06-07 23:14:02,205 - INFO - sending message(id:57) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,206 - INFO - sending message(id:58) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,208 - INFO - sending message(id:59) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,209 - INFO - sending message(id:60) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,212 - INFO - sending message(id:61) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,213 - INFO - sending message(id:62) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,215 - INFO - sending message(id:63) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,216 - INFO - sending message(id:64) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,217 - INFO - sending message(id:65) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,220 - INFO - sending message(id:66) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,221 - INFO - sending message(id:67) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,222 - INFO - sending message(id:68) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,224 - INFO - sending message(id:69) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,225 - INFO - sending message(id:70) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,227 - INFO - sending message(id:71) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,229 - INFO - sending message(id:72) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,230 - INFO - sending message(id:73) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,232 - INFO - sending message(id:74) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,233 - INFO - sending message(id:75) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,235 - INFO - sending message(id:76) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,236 - INFO - sending message(id:77) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,238 - INFO - sending message(id:78) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,239 - INFO - sending message(id:79) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,241 - INFO - sending message(id:80) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,242 - INFO - sending message(id:81) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,244 - INFO - sending message(id:82) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,246 - INFO - sending message(id:83) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,248 - INFO - sending message(id:84) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,249 - INFO - sending message(id:85) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,252 - INFO - sending message(id:86) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,253 - INFO - sending message(id:87) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,254 - INFO - sending message(id:88) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,256 - INFO - sending message(id:89) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,257 - INFO - sending message(id:90) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,260 - INFO - sending message(id:91) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,261 - INFO - sending message(id:92) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,263 - INFO - sending message(id:93) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,264 - INFO - sending message(id:94) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,267 - INFO - sending message(id:95) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,268 - INFO - sending message(id:96) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,271 - INFO - sending message(id:97) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,273 - INFO - sending message(id:98) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,275 - INFO - sending message(id:99) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,277 - INFO - sending message(id:100) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,279 - INFO - sending message(id:101) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,281 - INFO - sending message(id:102) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,283 - INFO - sending message(id:103) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,285 - INFO - sending message(id:104) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,287 - INFO - sending message(id:105) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,289 - INFO - sending message(id:106) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,291 - INFO - sending message(id:107) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,294 - INFO - sending message(id:108) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,295 - INFO - sending message(id:109) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,297 - INFO - sending message(id:110) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,300 - INFO - sending message(id:111) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,301 - INFO - sending message(id:112) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,303 - INFO - sending message(id:113) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,304 - INFO - sending message(id:114) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,307 - INFO - sending message(id:115) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,309 - INFO - sending message(id:116) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,310 - INFO - sending message(id:117) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,312 - INFO - sending message(id:118) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,314 - INFO - sending message(id:119) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,317 - INFO - sending message(id:120) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,319 - INFO - sending message(id:121) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,320 - INFO - sending message(id:122) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,322 - INFO - sending message(id:123) to ('10.254.224.48', 56916)
